poslist[key],positive,negative,sentiment,ambiguous,entity,negation,acceptance,anger,anticipation,disgust,fear,guilt,interest,joy,sadness,shame,surprise
come/VB to/TO grips/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
come/VB to/TO mind/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
come/VB to/TO terms/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
come/VB to/TO think/VB of/IN it/PRP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
come/VB unhinged/CC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
come/VB unstuck/JJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comfort/NN girl/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
comfort/NN woman/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
coming/VBG out/IN of/IN SBJ$ ears/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/JJ ground/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
common/JJ or/CC garden/NN variety/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concrete/JJ jungle/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consume/VB mass/NN quantities/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
controlled/JJ substance/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cook/VB the/DT books/NNS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cook/VB up/RP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cool/JJ stuff/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cool/VB it/PRP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cool/VB SBJ$ jets/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coon/NN 's/POS age/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cop/NN a/DT feel/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cop/NN on/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cop/NN out/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copious/JJ free/JJ time/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corner/NN the/DT market/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corporation/NN pop/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cost/VB a/DT pretty/JJ penny/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cost/VB an/DT arm/NN and/CC a/DT leg/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cotton/NN on/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cotton/NN to/TO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coug/NN it/PRP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cough/NN up/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
could/MD not/RB get/VB elect/VB dogcatcher/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
could/MD n't/RB happen/VB to/TO a/DT nicer/JJR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
count/NN sheep/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
country/NN mile/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
covenant/NN of/IN salt/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cover/VB SBJ$ ass/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cover/VB SBJ$ bases/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cover/VB up/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cowgirl/NN position/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
crab/JJ mentality/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crack/NN of/IN dawn/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
crack/VB down/IN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
crack/VB on/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crack/VB up/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cradle/NN robber/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cramp/VB SBJ$ style/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crank/VB out/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crank/VB up/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crap/NN on/IN a/DT stick/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crap/VB out/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crash/NN course/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cream/NN of/IN the/DT crop/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
creative/JJ Commons/NNP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
creature/NN comfort/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
creature/NN feature/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
creep/VB into/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crisis/NN management/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
criss-cross/NN applesauce/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crocodile/NN tear/VB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crocodile/NN tears/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
croiser/NN les/NNS doigts/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crop/VB up/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cross/VB off/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cross/VB out/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cross/VB SBJ$ palm/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cross/VB the/DT aisle/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cross/VB the/DT floor/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cross/VB the/DT line/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cross/VB the/DT Rubicon/NNP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crown/NN jewels/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cruising/NN for/IN a/DT bruising/VBG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cry/VB all/PDT the/DT way/NN to/TO the/DT bank/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cry/VB for/IN help/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cry/VB SBJ a/DT river/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cry/VB SBJ$ eyes/NNS out/IN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cry/VB the/DT blues/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cry/VB uncle/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cry/VB wolf/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cry/VB shame/NN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
crystal/NN clear/JJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuff/NN Jonas/NNP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cup/NN of/IN joe/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cup/NN of/IN tea/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
curate/NN 's/POS egg/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curry/NN favor/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/NN of/IN SBJ$ jib/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB a/DT rug/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB a/DT swath/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB a/DT wide/JJ swath/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB and/CC dry/VB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB corners/NNS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB it/PRP close/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB it/PRP fine/JJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB no/DT ice/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB red/JJ tape/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB SBJ some/DT slack/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB SBJ$ teeth/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB short/JJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB the/DT cheese/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB the/DT mustard/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB to/TO the/DT chase/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut/VB up/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cutie/NN pie/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cutting/NN edge/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
da/NN bomb/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daily/JJ grind/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
damn/VB by/IN association/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
damn/VB the/DT torpedoes/NNS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
damn/VB with/IN faint/JJ praise/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
damp/JJ squib/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel/NNP come/VB to/TO judgement/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dar/NN brincos/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dark/JJ horse/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darken/JJ SBJ$ doorstep/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dash/VB off/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
date/NN with/IN destiny/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davy/NNP Jones/NNP 's/POS locker/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dawn/NN of/IN a/DT new/JJ day/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
day/NN and/CC age/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
day/NN and/CC night/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"day/NN in/IN ,/, day/NN out/IN",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daylight/NN robbery/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ air/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ as/IN a/DT dodo/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ as/IN a/DT doorknob/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ as/IN a/DT doornail/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ duck/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ end/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ giveaway/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ heat/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ in/IN the/DT water/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ last/JJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ of/IN night/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ on/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ ringer/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ set/NN against/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ to/TO rights/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ tree/NN edition/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ weight/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead/JJ wood/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deadbeat/NN dad/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deadstick/NN landing/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deaf/JJ as/IN a/DT doorpost/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deafening/JJ silence/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deal/NN breaker/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
death/NN by/IN spellcheck/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debris/NN field/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decline/VB to/TO comment/VB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deep/JJ end/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deep/JJ pockets/NNS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deep/JJ six/CD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deep/JJ thinker/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deep/JJ water/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deer/NN in/IN the/DT headlights/NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
deliver/VB the/DT goods/NNS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deliver/VB the/DT message/NN to/TO Garcia/NNP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
den/NN of/IN iniquity/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk/NN jockey/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devil/NN is/VBZ in/IN the/DT details/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devil/NN 's/POS advocate/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diamond/NN in/IN the/DT rough/JJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dictate/VB but/CC not/RB read/VB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
differ/VB from/IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
different/JJ as/IN chalk/NN and/CC cheese/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dig/VB up/RP dirt/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dim/JJ bulb/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dimber/JJ damber/NN upright/JJ man/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dime/NN a/DT dozen/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diplomatic/JJ flu/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dirty/JJ laundry/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dirty/JJ money/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dirty/JJ old/JJ man/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dirty/JJ word/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dismal/JJ science/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dive/NN in/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
divvy/NN up/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB a/DT bunk/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB a/DT fine/JJ job/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB a/DT number/NN on/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB a/DT slow/JJ burn/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB away/RB with/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB justice/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB n't/RB cry/VB over/IN spilt/NN milk/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB n't/RB get/VB me/PRP started/VBN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB n't/RB hold/VB your/PRP$ breath/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB n't/RB knock/VB yourself/PRP out/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB n't/RB let/VB the/DT bedbugs/NNS bite/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB n't/RB look/VB at/IN me/PRP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB n't/RB take/VB any/DT wooden/JJ nickels/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB SBJ proud/JJ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB SBJ$ damnedest/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB SBJ$ darnedest/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB something/NN with/IN mirrors/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB the/DT hard/JJ yards/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB the/DT honors/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB the/DT honours/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do/VB the/DT nasty/JJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dodge/VB a/DT bullet/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dog/NN and/CC pony/NN show/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dog/NN 's/POS breakfast/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dog/NN 's/POS life/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dog/VB around/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dog/VB it/PRP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
done/VBN a/DT bunk/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
done/VBN deal/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
donkey/NN 's/POS ears/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
donkey/NN 's/POS years/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
donkey/NN work/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dormitive/JJ principle/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dot/VB the/DT i/NN 's/POS and/CC cross/VB the/DT t/NN 's/POS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
double/JJ back/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
double/JJ booked/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
double/JJ Dutch/NNPS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
double/JJ entendre/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
double/JJ talk/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
double-edged/JJ sword/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
down/IN for/IN the/DT count/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
down/IN in/IN the/DT dumps/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
down/IN in/IN the/DT mouth/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
down/IN the/DT drain/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
down/RB and/CC out/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
down/RB on/IN SBJ$ luck/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
down/RB to/TO a/DT fine/JJ art/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
down/RB to/TO the/DT short/JJ strokes/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
down/RB to/TO the/DT wire/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
down/RB under/IN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drag/VB SBJ$ feet/NNS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drama/NN queen/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draw/NN back/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draw/NN stumps/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draw/VB a/DT bath/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draw/VB a/DT blank/JJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draw/VB the/DT line/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draw/VB the/DT short/JJ straw/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dress/VB down/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dress/VB to/TO the/DT nines/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dribs/NNS and/CC drabs/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drift/VB off/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drill/VB down/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drink/VB from/IN a/DT firehose/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drive/VB home/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drive/VB off/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drive/VB out/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drive/VB SBJ up/IN the/DT wall/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drive/VB the/DT porcelain/JJ bus/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drive-by/NN media/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drop/VB a/DT bollock/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drop/VB a/DT bomb/NN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
drop/VB the/DT ball/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drop/VB the/DT gloves/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drop/VB the/DT writ/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drown/VB out/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drug/NN of/IN choice/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drug/NN on/IN the/DT market/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drum/VB up/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dry/JJ eye/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dry/JJ run/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dry/JJ SBJ$ eyes/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duck/NN soup/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
due/JJ course/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duke/VB it/PRP out/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dumb/JJ bunny/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dumb/JJ down/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dummy/JJ run/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dusty/JJ miller/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dutch/JJ courage/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dutch/JJ reckoning/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dye/NN in/IN the/DT wool/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dyed/VBN in/IN the/DT wool/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eager/JJ beaver/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early/JJ bath/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
earn/VB SBJ$ keep/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ears/NNS are/VBP burning/VBG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
easy/JJ as/IN falling/VBG off/IN a/DT log/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
easy/JJ as/IN pie/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"easy/JJ come/VBN ,/, easy/RB go/VB",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
easy/JJ street/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
easy/RB on/IN the/DT eyes/NNS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
